テーマID,問題ID,問題タイトル,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,選択肢6,
1,1,電気主任技術者の職務,*電気事業法第１条*よりλ　この法律は、電気事業の{1}かつ{2}ならしめることによって、電気の{3}を保護し、及び電気事業の{4}を図るとともに、電気工作物の{5}を規制することによって、{6}を確保し、及び{7}を図ることを目的とする。,運営を適正/運用を適正/運営を適切/ 運用を適切,合理的/計画的/効率的,使用者の利益/使用者の設備/利用者の利益/利用者の設備,健全な発達/健全な発展/安定性の向上/安定性の確保,工事、維持及び運用/工事、管理及び運用/施工、検査及び管理/工事、維持及び運営,公共の安全/電気の保安/一般の安全/電気の安全,環境の保全/環境の保護/電気の安定供給/供給能力の確保
1,2,小売供給,電気事業法第２条より¥*小売供給*とは、{1}に応じ電気を供給することをいう。¥*小売電気事業者*とは、*小売電気事業*を営むことについて{2}をいう。,一般の需要/小規模な需要/一般の電気設備/小規模な電気設備,経済産業大臣の¥登録を受けた者/経済産業大臣の¥許可を受けた者/経済産業大臣に¥届出した者/経済産業大臣に¥承認を受けた者,,,,,
1,4,電気事業法第４３条,電気事業法第４３条より¥*事業用電気工作物を設置する者*は、事業用電気工作物の工事、維持及び運用に関する{1}をさせるため、主任技術者を{2}しなければならない。¥　また、*自家用電気工作物を設置する者*は{3}主任技術者免状の交付を受けていない者を主任技術者として選任することができる。,保安の監督/施工の管理/電気設備点検/設備更新計画,選任/任命/指名/雇用,主務大臣の¥許可を受けて/主務大臣の¥承認を受けて/主務大臣に¥届出をして/主務大臣に¥登録を受けて,,,,
1,5,サンプル：画像表示,この写真の設備の名称は？【sample.png】,キュービクル/分電盤/制御盤/金属箱,,,,,,
1,3,サンプル：強調・検索ワード,*電気事業法第４３条*において電気主任技術者は何の職務を誠実に行わなければならないと定めているか？,保安の監督/施工の管理/電気設備点検/設備更新計画,,,,,,
1,6,電気主任技術者の職務,*電気事業法第４３条*において¥*電気主任技術者*は何の職務を誠実に行わなければならないと定めているか？,保安の監督/施工の管理/電気設備点検/設備更新計画,,,,,,
1,7,サンプル：改行＋スペース,電気事業法第４３条においてλ電気主任技術者は何の職務を誠実に行わなければならないと定めているか？,保安の監督/施工の管理/電気設備点検/設備更新計画,,,,,,
1,8,サンプル：区切り線,電気事業法第４３条において|電気主任技術者は何の職務を誠実に行わなければならないと定めているか？,保安の監督/施工の管理/電気設備点検/設備更新計画,,,,,,
2,1,問題例１短文,「*平成28年度能力開発基本調査*（*厚生労働省*）」をみると、能力開発や人材育成に関して何らかの「問題がある」とする事業所は{1}である,約３割/約５割/約７割/約９割,,,,,,
2,2,問題例２長文,平成１８年に改正された、*雇用の分野における男女の均等な機会及び待遇の確保等に関する法律*においては、あらゆる{1}の段階における性別による差別的取り扱い、間接差別、妊娠、出産等を理由とする不利益取り扱い等が禁止されるとともに、{2}の義務が強化される等、法の整備・強化が図られた。,労務管理/雇用管理/経営管理/就職活動,セクシャルハラス¥メント防止対策/コンプライアンス¥対策/パワーハラスメント¥防止対策,,,,,
1,57,供給の定義１,電気事業法第２条より¥他の者から受電した者が他の者に、受電した電気の量に相当する量の電気を供給することを何というか？,振替供給/接続供給/間接供給/代替供給,,,,,,,,,
1,58,供給の定義２,電気事業法第２条より¥*小売供給*を行う事業を営む他の者から受電した者が、当該他の者の*小売電気事業*の用に供するための電気の量に相当する量の電気を供給することを何というか？,接続供給/振替供給/間接供給/代替供給,,,,,,,,,
1,59,供給の定義３,電気事業法第２条より¥*振替供給*および*接続供給*のことを何ともいうか？,託送供給/直接供給/間接供給/代替供給,,,,,,,,,